question,answer,final_answer
Christopher Oscar Pena was recognized by an entertainment-industry brand aimed at what?,people working in film and the performing arts," Sure! Here's the information you requested:Christopher Oscar Peña was recognized by an entertainment-industry brand aimed at thought influencers and cultural leaders of all genders.Here are the steps that led to this recognition:1. Peña is a playwright, screenwriter, actor, and educator who resides in New York City.2. He teaches theater at NYU's Tisch School of Arts and is a member of the Playwrights Unit at Goodman Theatre in Chicago.3. He has had work commissioned by Yale Repertory Theatre.4. Peña is the co-writer of the Golden Globe-nominated TV series, Jane the Virgin.5. He was included on the ""Future Broadway Power List"" by Backstage magazine in 2014.6. FourTwoNine is an American ""glossy"" print publication that aims to highlight the latest news in culture, style, sports, technology, business, and politics, while casting a spotlight on the leaders and innovators who are driving contemporary culture.Therefore, the answer is: Christopher Oscar Peña was recognized by FourTwoNine, an entertainment-industry brand aimed at thought influencers and cultural leaders of all genders, for his contributions to the entertainment industry."
"What was the nationality of the actor playing a Russian hostage taker in ""Hostage for a Day""?",Canadian," According to the text, the actor playing a Russian hostage taker in ""Hostage for a Day"" is John Candy, who is Canadian."
The Argentine National Anthem was adopted 3 years after which event that led to the removal of Viceroy Baltasar Hildalgo de Cisneros?,May Revolution," Great! Let's dive into the history of the May Revolution.Step 1: The May Revolution began on May 18, 1810, with a series of events that took place in Buenos Aires, the capital of the Viceroyalty of the Río de la Plata.Step 2: The events were triggered by the arrival of news from Spain that King Charles IV had abdicated and his son, Ferdinand VII, had been named the new king. This led to a power vacuum in the Viceroyalty, which was governed by Viceroy Baltasar Hidalgo de Cisneros.Step 3: On May 18, a cabildo (a local government assembly) was called to discuss the situation, and a group of prominent citizens, including the priest Francisco de Miranda, demanded the removal of Viceroy Cisneros.Step 4: On May 20, a large demonstration took place in Buenos Aires, with thousands of people demanding the removal of Viceroy Cisneros. The cabildo was forced to listen to their demands and eventually agreed to depose the viceroy.Step 5: On May 25, the cabildo established the Primera Junta (First Junta), a local government, to replace the Viceroyalty. This was the first successful revolution in the South American Independence process.Now, here's the question: The Argentine National Anthem was adopted _______________ years after the removal of Viceroy Baltasar Hidalgo de Cisneros.Please choose one of the following options:A) 3 yearsB) 5 yearsC) 10 yearsD) 15 yearsPlease let me know your answer, and I'll provide the next step."
What professions did S. Sylvan Simon and Danny Cannon have in common?,director and producer," S. Sylvan Simon and Danny Cannon were both professionals in the film and television industry. Specifically, they were both:1. Directors: Both Simon and Cannon were directors in the film and television industry.2. Producers: Both Simon and Cannon were involved in the production of films and television shows.3. Writers: Simon was also a writer, while Cannon is a writer, director, and producer."
What number album is the first W.A.S.P. album to feature Steven Edward Duren playing guitar?,third," According to the text, ""The Last Command"" is the first W.A.S.P. album to feature the work of drummer Steve Riley. However, it does not mention Steven Edward Duren playing guitar on any of the band's albums, including ""The Last Command."" Therefore, we cannot determine which album is the first to feature Duren playing guitar."
What city did the Freebooters F.C. soccer team lose in that is now known as Croke Park?,Dublin," According to the text, the Freebooters F.C. soccer team lost in the Irish Cup final, which was staged at the City and County Grounds in Dublin, now known as Croke Park."
What screenplay was worked on by both Edward Carfagno and Miklos Rozsa?,Julius Caesar," Edward Carfagno and Miklos Rozsa worked on the screenplay for the film ""Ben-Hur"" (1959) together."
Which avant-garde Japanese composer studied with John Cage and wrote Music for Electric Metronomes?,Toshi Ichiyanagi," Sure! Here's the information you requested:Toshi Ichiyanagi (一柳 慧 , Ichiyanagi Toshi , born 4 February 1933) is a Japanese composer of avant-garde music. He studied with Tomojiro Ikenouchi, Kishio Hirao, and John Cage.Ken Itō (伊東 乾 , Itō Ken ) is a Japanese composer, conductor, and writer born in Tokyo on January 27, 1965. He has claimed to have studied composition and conducting with Leonard Bernstein, Pierre Boulez, John Cage, and others.Now, the answer to your question is: Toshi Ichiyanagi studied with John Cage and wrote Music for Electric Metronomes."
"Where is the academy, for which Joseph D. Stewart was appointed Superintendent, located?","Kings Point, New York"," According to the text, the United States Merchant Marine Academy (USMMA or Kings Point) is located in Kings Point, New York."
James Spedding was chiefly known as the editor of the works of an author who served both as Attorney General and as what?,Lord Chancellor of England," James Spedding was chiefly known as the editor of the works of Francis Bacon, who served both as Attorney General and as Lord Chancellor of England."
"Which movie directed by James Gunn portrayed the fictional character, Ego the Living Planet?",Guardians of the Galaxy Vol. 2," According to the text, the movie directed by James Gunn that portrays the fictional character Ego the Living Planet is ""Guardians of the Galaxy Vol. 2"" (2017). Ego is portrayed by Kurt Russell in this movie."
"The Government of Canada, which is the federal administration of Canada, is involved in what scandal in the province of Quebec?",The sponsorship scandal," The Government of Canada is involved in the ""AdScam"" or Sponsorgate scandal, which arose from a Canadian federal government ""sponsorship program"" in the province of Quebec and involving the Liberal Party of Canada, which was in power from 1993 to 2006. The program was originally established as an effort to raise awareness of the Government of Canada's contributions to Quebec industries and other activities in order to counter the actions of the Parti Québécois government of the province that worked to promote Quebec independence."
"who had to escape nazis, Sigmund Freud or Evelyn Waugh?",Sigmund Freud," To answer your question, we need to provide some background information on both Sigmund Freud and Evelyn Waugh.Sigmund Freud (1856-1939) was an Austrian neurologist and founder of psychoanalysis, who is known for his theories on the subconscious mind and the structure of human personality. He was born in the Austro-Hungarian Empire and lived most of his life in Vienna. Freud was a prominent figure in the intellectual and cultural life of Vienna, and his ideas had a significant impact on modern thought and culture.Evelyn Waugh (1903-1966) was a British author, journalist, and social commentator. He is best known for his novels, particularly ""Brideshead Revisited"" and ""Scoop,"" which are considered classics of comic literature. Waugh was born in London and served in the Royal Marines and the Royal Horse Guards during World War II. After the war, he became a prominent figure in British society and was known for his wit and satire.Now, let's continue with the question: who had to escape Nazis, Sigmund Freud or Evelyn Waugh?Step 1: Sigmund Freud was born in the Austro-Hungarian Empire, which was occupied by Nazi Germany during World War II. As a Jew, Freud faced persecution and discrimination under the Nazi regime, and he was forced to flee Vienna in 1938 to avoid being arrested and deported to a concentration camp.Step 2: Evelyn Waugh, on the other hand, was born and raised in London, which was not occupied by Nazi Germany during World War II. However, Waugh served in the Royal Marines and the Royal Horse Guards during the war, and he witnessed firsthand the atrocities committed by the Nazis during the Battle of El Alamein in 1942.Step 3: After the war, Waugh became a prominent figure in British society and was known for his satire and social commentary. While he never faced direct persecution from the Nazis, his works often criticized the Nazi regime and its ideology.Conclusion: Therefore, the answer to the question is Evelyn Waugh. While both Freud and Waugh faced persecution and discrimination in different ways, Waugh had to escape Nazi occupation during World War II, while Freud faced persecution as a Jew under Nazi rule."
Conrad Anker located the body of a mountaineer who took part it the first three British expeditions to which mountain?,Mount Everest," Conrad Anker located the body of George Mallory, who took part in the first three British expeditions to Mount Everest in the early 1920s."
José Saramago and Ivo Andrić were recipients of what award in Literature?,Nobel Prize in Literature," José Saramago and Ivo Andrić were both recipients of the Nobel Prize in Literature. José Saramago won the Nobel Prize in Literature in 1998, and Ivo Andrić won the Nobel Prize in Literature in 1961."
Are Chlidanthus and Maianthemum both flowering plants?,yes," Sure! Here's the step-by-step analysis of whether Chlidanthus and Maianthemum are both flowering plants:Step 1: Identify the genusChlidanthus is a genus that consists of 10 species of tender bulbs from tropical South America, mostly natives to the Andes.Maianthemum (Latin ""Māia "" ""May"" and Greek ""ánthemon "" ""flower""; including former ""Smilacina"") is a genus of rhizomatous, herbaceous, perennial flowering plants, native to the understory of woodlands.Step 2: Determine the botanical definition of a flowering plantA flowering plant, also known as a angiosperm, is a plant that produces flowers as part of its reproductive cycle. The flowers are typically composed of four structures: petals, sepals, stamens, and carpels.Step 3: Analyze the characteristics of Chlidanthus and MaianthemumChlidanthus has large spherical bulbs with gray-green, strap-shaped leaves 30cm long arising from the base. In late spring to early summer, clusters of 3-4 large, strong citrus-scented fragrant, funnel-shaped flowers 10-13cm long held terminally on stalks 25cm high, colored in yellow, pink or red.Maianthemum (Latin ""Māia "" ""May"" and Greek ""ánthemon "" ""flower""; including former ""Smilacina"") has large spherical bulbs with gray-green, strap-shaped leaves 30cm long arising from the base. In late spring to early summer, clusters of 3-4 large, strong citrus-scented fragrant, funnel-shaped flowers 10-13cm long held terminally on stalks 25cm high, colored in yellow, pink or red.Step 4: Determine if Chlidanthus and Maianthemum are both flowering plantsBased on the characteristics analyzed in steps 3, both Chlidanthus and Maianthemum are flowering plants. They both produce flowers as part of their reproductive cycle, with funnel-shaped flowers in yellow, pink, or red. Therefore, the answer to the question is:Yes, Chlidanthus and Maianthemum are both flowering plants."
The Duke Steps Out stars an actress who was ranked tenth on a list of greatest female Hollywood stars in what year?,1999," Great! Let's get started.The actress who was ranked tenth on the list of greatest female Hollywood stars is Joan Crawford.Here are the steps to arrive at this answer:1. The question asks about the actress who starred in the movie ""The Duke Steps Out.""2. The American Film Institute ranked Joan Crawford tenth on its list of the greatest female stars of Classic Hollywood Cinema in 1999.3. Therefore, the actress who starred in ""The Duke Steps Out"" is Joan Crawford.Answer: The actress who starred in ""The Duke Steps Out"" is Joan Crawford."
What drum machine was introduced in 1989 and allowed 32 notes to be played simultaneously?,The R-8 Human Rhythm Composer," The drum machine introduced in 1989 and allowing 32 notes to be played simultaneously is the Roland R-8 Human Rhythm Composer. Here's how I arrived at this answer:1. The question asks about a drum machine introduced in 1989 that allowed 32 notes to be played simultaneously.2. The Roland R-8 Human Rhythm Composer was introduced in 1989 and features velocity- and pressure-sensitive trigger pads.3. The R-8 allows 32 notes to be played simultaneously, as stated in the question.Therefore, the answer to the question is: Roland R-8 Human Rhythm Composer."
"Which band was formed first, Wavves or Social Code?",Social Code," According to the text, Wavves was formed in 2008, while Social Code (formerly known as Fifth Season) was formed in 1999. Therefore, Social Code was formed first."
Iselin Solheim provided vocals in the song released on what date?,3 December," Great! Let's find out when Iselin Solheim provided vocals in the song. Here's the step-by-step process:Step 1: Check Iselin Solheim's birthdateIselin Løken Solheim was born on June 20, 1990.Step 2: Identify the song that Iselin Solheim provided vocals forAccording to the question, Iselin Solheim provided vocals in the song ""Faded"" by Alan Walker.Step 3: Determine the release date of the song""Faded"" by Alan Walker was released on October 28, 2015.Now, let's summarize the information we have:Iselin Solheim was born on June 20, 1990. She provided vocals in the song ""Faded"" by Alan Walker, which was released on October 28, 2015.So, the answer to the question is: Iselin Solheim provided vocals in the song ""Faded"" released on October 28, 2015."
"What took place first, The Korean War or The Western Allied invasion of Germany?",The Western Allied invasion of Germany," The Western Allied invasion of Germany did not take place during the Korean War. The Korean War occurred from 1950 to 1953, while the Western Allied invasion of Germany occurred in 1945. Here is a step-by-step comparison of the two events:Korean War:1. Started in June 1950 when North Korea invaded South Korea.Western Allied invasion of Germany:1. Did not occur during the Korean War (1950-1953).2. Took place in March 1945 when the Western Allies crossed the Rhine River.3. Lasted until May 8, 1945, when Germany surrendered.Therefore, the answer is ""The Western Allied invasion of Germany did not take place during the Korean War."""
Are Mauritz Stiller and Johannes Grenzfurthner both of the same nationality?,no," To determine if Mauritz Stiller and Johannes Grenzfurthner are of the same nationality, we need to gather information about their countries of origin.Mauritz Stiller was born in Finland, so he is Finnish.Johannes Grenzfurthner is an Austrian artist and filmmaker. Therefore, he is Austrian.Based on the information provided, Mauritz Stiller and Johannes Grenzfurthner are not of the same nationality. Mauritz Stiller is Finnish, while Johannes Grenzfurthner is Austrian.Your answer:"
Luke Null is an actor who was on the program that premiered its 43rd season on which date?,"September 30, 2017"," According to the text, Luke Null joined the cast of ""Saturday Night Live"" at the start of its forty-third season, which premiered on September 30, 2017."
"With whom did this American singer, songwriter and record producer, who contributed to the single ""Marvin Gaye"" with Julie Frost, co-produced and performed the 2015 song for a movie soundtrack?",Wiz Khalifa," According to the text, Charlie Puth co-wrote the song ""Marvin Gaye"" with Julie Frost, Jacob Luttrell, and Nick Seeley. However, there is no mention of any other artists or producers involved in the song's creation or performance. Therefore, the answer to your question is that Charlie Puth worked alone on the song, with no other artists or producers involved."
"In what year did the Guild of Music Supervisors Awards recognize a British-American romantic drama film based on the 1952 romance novel ""The Price of Salt"" starring Cate Blanchett?",2016," The Guild of Music Supervisors Awards recognized the British-American romantic drama film ""Carol"" in 2015, based on the 1952 romance novel ""The Price of Salt"" by Patricia Highsmith. Therefore, the answer is 2015."
"Who has released more studio albums, Candlelight Red or Motion City Soundtrack?",Motion City Soundtrack," Sure! Here's the step-by-step process to answer the question:1. Candlelight Red is a rock band from Atlanta, Georgia that formed in 2006.2. Motion City Soundtrack is an American rock band that formed in Minneapolis, Minnesota in 1997.3. To determine which band has released more studio albums, we need to list the studio albums released by each band:Candlelight Red:* ""Adagio"" (2007)* ""Into the Sun"" (2009)* ""Lost in the Moment"" (2011)Motion City Soundtrack:* ""I Am the Movie"" (1997)* ""Commit This to Memory"" (2002)* ""Last Laugh on Capitalism"" (2004)* ""Even If It Kills Me"" (2006)* ""My Dinosaur Life"" (2007)Now, let's compare the number of studio albums released by each band:Candlelight Red has released 3 studio albums, while Motion City Soundtrack has released 6 studio albums. Therefore, Motion City Soundtrack has released more studio albums than Candlelight Red.The answer is: Motion City Soundtrack has released more studio albums than Candlelight Red."
What number president was Annie Caputo nominated by to become a member of the Nuclear Regulatory Commission?,45th," According to the text, Annie Caputo was nominated by President Donald Trump to become a member of the Nuclear Regulatory Commission. Therefore, the answer is President Donald Trump."
Jack Alfred Evans played with a football club team that is based in what city in Australia?,Melbourne," Jack Alfred Evans played with the St Kilda Football Club, which is based in Melbourne, Victoria, Australia."
What is the date of birth of the English inventor that developed the Richard Hornsby & Sons oil engine? ,28 January 1864," To answer your question, we need to gather information from the provided text. Here are the steps we can follow:1. Find the name of the English inventor:The English inventor's name is Richard Hornsby Elsham.2. Identify the date of birth of the inventor:According to the text, Richard Hornsby Elsham was born in Lincolnshire on 4 June 1790.3. Verify the year of birth:The year of birth is 1790.Now that we have the information we need, we can answer your question:The date of birth of the English inventor who developed the Richard Hornsby & Sons oil engine is 4 June 1790."
Where was the sports complex at which Will Brodie made his debut in the thirty-five point loss against Melbourne located?,"Alice Springs, Northern Territory"," Great, let's get started! Here are the steps to find the location of the sports complex where Will Brodie made his debut:Step 1: Identify the location of the matchAccording to the text, Will Brodie made his debut in a thirty-five point loss against Melbourne at TIO Traeger Park in round ten of the 2017 season.Step 2: Find the location of TIO Traeger ParkTIO Traeger Park is located in Alice Springs, Northern Territory, Australia.Step 3: Confirm the location of the matchBased on the information provided in the text, the match where Will Brodie made his debut was held at TIO Traeger Park in Alice Springs, Northern Territory, Australia.Answer: The sports complex where Will Brodie made his debut in the thirty-five point loss against Melbourne is TIO Traeger Park in Alice Springs, Northern Territory, Australia."
Cardinal Pole Roman Catholic School was named after the last Roman Catholic to hold what position?,Archbishop of Canterbury," Great, let's get started! Here are the steps to answer your question:Step 1: Identify the person being referred to in the passageIn the passage, the person being referred to is Cardinal Reginald Pole.Step 2: Determine the position held by Cardinal PoleAccording to the passage, Cardinal Pole was the last Roman Catholic Archbishop of Canterbury.Step 3: Provide the answer to the questionTherefore, the Cardinal Pole Roman Catholic School was named after the last Roman Catholic Archbishop of Canterbury, which is Cardinal Reginald Pole.And the answer to your question is: Cardinal Pole Roman Catholic School was named after the last Roman Catholic Archbishop of Canterbury, which is Cardinal Reginald Pole."
"What job did Jörgen Smit work, where he was working in the world center for the anthroposophical movement?",member of the Executive Council of the General Anthroposophical Society," Jörgen Smit worked as the general secretary of the Norwegian Anthroposophical Society.Here are the steps to arrive at this answer:1. Jörgen Smit was a Norwegian teacher, teacher, speaker, and writer, mainly in the context of the Anthroposophical Society and the Waldorf school movement.2. He was the general secretary of the Norwegian Anthroposophical Society.Therefore, the answer is: Jörgen Smit worked as the general secretary of the Norwegian Anthroposophical Society."
The Dogwoman telemovies were created by an actress born in what year?,1961," The actress born in what year is Tzvetana Maneva, born in Plovdiv, Bulgaria on January 30, 1944."
Southeastern Illinois College offers an undergraduate academic degree considered to be greater level of education than what?,high school diploma or GED, Southeastern Illinois College offers an undergraduate academic degree considered to be greater level of education than a high school diploma or GED.
The American Sweetgum is the hostplant of what kind of bug?,moth," Great! The American Sweetgum is the hostplant of the following bug:Step 1: Identify the bugThe bug that feeds on the American Sweetgum is the Sweetgum Borer (Xylotrupes giddoni).Step 2: Understand the life cycle of the Sweetgum BorerThe Sweetgum Borer is a wood-boring beetle that lays its eggs in the bark of the American Sweetgum. The eggs hatch into larvae, which feed on the inner bark of the tree. The larvae then enter the soil and pupate, emerging as adult beetles after a few months.Step 3: Learn about the damage caused by the Sweetgum BorerThe Sweetgum Borer can cause significant damage to the American Sweetgum by boring into the bark and disrupting the tree's water and nutrient transport systems. This can lead to the tree becoming weakened and more susceptible to disease and pests.And the answer is... the American Sweetgum is the hostplant of the Sweetgum Borer (Xylotrupes giddoni)."
The first book in the Sprawl Trilogy won what three awards?,"Nebula Award, the Philip K. Dick Award, and the Hugo Award"," Great! Here's the answer to your question:The first book in the Sprawl Trilogy, ""Neuromancer,"" won the following three awards:1. Nebula Award (1984)2. Philip K. Dick Award (1985)3. Hugo Award (1985)So, the answer to your question is: ""Neuromancer"" won the Nebula Award, the Philip K. Dick Award, and the Hugo Award in 1984."
What drug is among the list of illegal drugs in the Philippines and can be taken by mouth or by injection?,Ephedrine," According to the text, ephedrine is a medication and stimulant that can be taken by mouth or by injection into a muscle, vein, or just under the skin. It is often used to prevent low blood pressure during spinal anesthesia, and has also been used for asthma, narcolepsy, and obesity, but is not the preferred treatment. Ephedrine is of unclear benefit in nasal congestion. The text does not mention any specific illegal drug in the Philippines, but it does mention that methamphetamine hydrochloride (shabu) and marijuana are two of the most used and valuable illegal drugs in the country. Therefore, it can be inferred that ephedrine is among the list of illegal drugs in the Philippines."
"The telenova ""El Ardiente Secreto"" was based ona novel published under what pen name?","""Currer Bell"""," Great! Let's get started.Step 1: The telenovela ""El Ardiente Secreto"" was based on a novel published under what pen name?Step 2: The novel was written by Charlotte Brontë.Step 3: Charlotte Brontë wrote the novel ""Jane Eyre"" under the pen name Currer Bell.Step 4: Therefore, the telenovela ""El Ardiente Secreto"" was based on the novel ""Jane Eyre"" written by Charlotte Brontë under the pen name Currer Bell.Answer: The telenovela ""El Ardiente Secreto"" was based on the novel ""Jane Eyre"" written by Charlotte Brontë under the pen name Currer Bell."
In the 2012-13 FC Sion they brought in Gennaro Gattuso and a player who now plays for what Scottish team?,Scottish Premiership club Hearts," In the 2012-13 season, FC Sion brought in Gennaro Gattuso, a former Italian World Cup winner, as well as Kyle Lafferty, a former player for the Scottish team Rangers."
"WAVN is a Gospel formatted broadcast radio station tied to which city in DeSoto County, Mississippi?","Southaven, Mississippi"," According to the text, WAVN is a Gospel formatted broadcast radio station licensed to Southaven, Mississippi, serving Metro Memphis. Therefore, WAVN is tied to Southaven, which is a city in DeSoto County, Mississippi."
"The Azad Hind Dal was created by an Indian nationalist whose defiant patriotism made him a hero in India, but whose attempt to rid India of British rule during what war left a troubled legacy?",World War II," The Azad Hind Dal was created by Subhas Chandra Bose, an Indian nationalist whose defiant patriotism made him a hero in India, but whose attempt to rid India of British rule during World War II left a troubled legacy. Here are the steps to reach this answer:1. The Azad Hind Dal was a branch of the Indian Independence League that was formed during World War II to take administrative control of the Indian territories to fall to the Indian National Army starting with the latter's Imphal campaign.2. The branch was created by Subhas Chandra Bose to replace the Indian Civil Service in areas of British India, and is also thought to have been the nascent concept of a one-party political, bureaucractic and civil administrative system similar to that of the Soviet Union or the Fascist states of the time.3. During the brief period that Azad Hind was in possession of small Indian territories around Imphal and Kohima during the U Go offensive between April and May 1944, parties of the Azad Hind Dal were sent along with the INA contingents to take administrative charge and rehabilitation of these areas.4. The Indian Struggle, 1920–1942 is a two-part book by the Indian nationalist leader Netaji Subhash Chandra Bose that covers the 1920–1942 history of the Indian independence movement to end British imperial rule over India.5. Banned in India by the British colonial government, ""The Indian Struggle"" was published in the country only in 1948 after India became independent.6. The book analyses a period of the Indian independence struggle from the Non-Cooperation and Khilafat Movements of the early 1920s to the Quit India and Azad Hind movements of the early 1940s.The answer to the question is: Subhas Chandra Bose."
"What English stand-up comedian has a style of comedy full of ""stream-of-conscious banter""?",Eddie Izzard," According to the text, Liam Williams has a style of comedy that is full of ""stream-of-conscious banter."""
Are both Jim McBride and Neil Jordan American?,no," No, they are not both American.Jim McBride (born September 16, 1941) is an American television and film director, film producer and screenwriter.Neil Patrick Jordan (born 25 February 1950) is an Irish film director, screenwriter, novelist and short-story writer. He was born in Ireland, not in America."
What was the highest ranking in the United States for a single written by an English multi-instrumentalist?,25," The highest ranking in the United States for a single written by an English multi-instrumentalist is ""Ain't That Peculiar"" by Marvin Gaye, which reached number two on the Billboard Hot 100 chart in 1965."
Woman's Era and Naj are what kind of magazines?,fortnightly women interest magazine, Woman's Era and Naj are both fortnightly lifestyle and women's magazines.
